Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"NOC","NORTHROP GRUMMAN CORP","Industrials","Equity","56,597,575.35","0.13","56,597,575.35","96,545.00","586.23","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AON","AON PLC CLASS A","Financials","Equity","55,736,977.10","0.13","55,736,977.10","149,485.00","372.86","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ITW","ILLINOIS TOOL INC","Industrials","Equity","55,056,300.36","0.13","55,056,300.36","208,594.00","263.94","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"TDG","TRANSDIGM GROUP INC","Industrials","Equity","55,026,405.26","0.13","55,026,405.26","39,367.00","1,397.78","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"FI","FISERV INC","Financials","Equity","54,899,065.95","0.13","54,899,065.95","394,645.00","139.11","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MSI","MOTOROLA SOLUTIONS INC","Information Technology","Equity","54,676,910.37","0.13","54,676,910.37","118,757.00","460.41","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AJG","ARTHUR J GALLAGHER","Financials","Equity","54,337,725.28","0.13","54,337,725.28","180,536.00","300.98","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PNC","PNC FINANCIAL SERVICES GROUP INC","Financials","Equity","54,287,122.05","0.13","54,287,122.05","281,295.00","192.99","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CRH","CRH PUBLIC LIMITED PLC","Materials","Equity","54,287,268.84","0.13","54,287,268.84","482,811.00","112.44","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"EQIX","EQUINIX REIT INC","Real Estate","Equity","53,809,612.20","0.13","53,809,612.20","69,570.00","773.46","United States","NASDAQ","USD","1.00","USD","-"
"NEM","NEWMONT","Materials","Equity","53,396,830.74","0.13","53,396,830.74","792,473.00","67.38","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CTAS","CINTAS CORP","Industrials","Equity","52,971,026.07","0.13","52,971,026.07","244,749.00","216.43","United States","NASDAQ","USD","1.00","USD","-"
"EMR","EMERSON ELECTRIC","Industrials","Equity","52,798,645.24","0.13","52,798,645.24","401,236.00","131.59","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BK","BANK OF NEW YORK MELLON CORP","Financials","Equity","51,509,963.68","0.12","51,509,963.68","509,596.00","101.08","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"USB","US BANCORP","Financials","Equity","51,432,792.83","0.12","51,432,792.83","1,113,023.00","46.21","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ECL","ECOLAB INC","Materials","Equity","50,595,866.88","0.12","50,595,866.88","178,368.00","283.66","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ELV","ELEVANCE HEALTH INC","Health Care","Equity","50,228,256.00","0.12","50,228,256.00","160,988.00","312.00","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"HCA","HCA HEALTHCARE INC","Health Care","Equity","50,126,851.20","0.12","50,126,851.20","124,480.00","402.69","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ZTS","ZOETIS INC CLASS A","Health Care","Equity","49,455,269.31","0.12","49,455,269.31","317,693.00","155.67","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"JCI","JOHNSON CONTROLS INTERNATIONAL PLC","Industrials","Equity","49,251,287.28","0.12","49,251,287.28","471,214.00","104.52","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"WMB","WILLIAMS INC","Energy","Equity","49,141,114.46","0.12","49,141,114.46","868,678.00","56.57","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CL","COLGATE-PALMOLIVE","Consumer Staples","Equity","49,134,788.05","0.12","49,134,788.05","572,333.00","85.85","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AZO","AUTOZONE INC","Consumer Discretionary","Equity","49,087,303.20","0.12","49,087,303.20","11,889.00","4,128.80","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"HWM","HOWMET AEROSPACE INC","Industrials","Equity","49,069,198.80","0.12","49,069,198.80","285,452.00","171.90","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CSX","CSX CORP","Industrials","Equity","48,803,246.36","0.12","48,803,246.36","1,336,343.00","36.52","United States","NASDAQ","USD","1.00","USD","-"
"PYPL","PAYPAL HOLDINGS INC","Financials","Equity","48,122,326.00","0.11","48,122,326.00","696,920.00","69.05","United States","NASDAQ","USD","1.00","USD","-"
